"City.Feature","Common.Name","Address","Website","Longitude","Latitude","Neighborhood"
"Tennis Courts","Ballard Playground","2644 NW 60th St.","http://www.seattle.gov/parks/park_detail.asp?ID=497",-122.39155,47.672786,"Ballard"
"Tennis Courts","Jefferson Park","4165 16th Ave. S","http://www.seattle.gov/parks/park_detail.asp?ID=114",-122.310923,47.56896,"North Beacon Hill"
"Tennis Courts","Froula Playground","7200 12th Ave. NE","http://www.seattle.gov/parks/park_detail.asp?ID=287",-122.313977,47.680538,"Roosevelt"
"Tennis Courts","Green Lake Park","7201 E Green Lake Dr. N","http://www.seattle.gov/parks/park_detail.asp?ID=307",-122.331029,47.681711,"Green Lake"
"Tennis Courts","Magnolia Park","1461 Magnolia Blvd. W","http://www.seattle.gov/parks/park_detail.asp?ID=317",-122.397349,47.633426,"Magnolia"
"Tennis Courts","Lowman Beach Park","7017 Beach Dr. SW","http://www.seattle.gov/parks/park_detail.asp?ID=461",-122.397762,47.540163,"Gatewood"
"Tennis Courts","Bryant Playground","4103 NE 65th St.","http://www.seattle.gov/parks/park_detail.asp?ID=482",-122.283644,47.675299,"Bryant"
"Tennis Courts","Hiawatha Playfield","2700 California Ave. SW","http://www.seattle.gov/parks/park_detail.asp?ID=456",-122.384965,47.578273,"Admiral"
"Tennis Courts","Highland Park Playground","1100 SW Cloverdale St.","http://www.seattle.gov/parks/park_detail.asp?ID=457",-122.349032,47.527379,"Highland Park"
"Tennis Courts","Riverview Playfield","7226 12th Ave. SW","http://www.seattle.gov/parks/park_detail.asp?ID=463",-122.348855,47.539328,"Riverview"
"Tennis Courts","South Park Playground","738 S Sullivan St.","http://www.seattle.gov/parks/park_detail.asp?ID=467",-122.32416,47.528017,"South Park"
"Tennis Courts","Cowen Park","5849 15th Ave. NE","http://www.seattle.gov/parks/park_detail.asp?ID=483",-122.313072,47.672596,"Roosevelt"
"Tennis Courts","Ravenna-Eckstein Park","6535 Ravenna Ave. NE","http://www.seattle.gov/parks/park_detail.asp?ID=488",-122.304931,47.676879,"Ravenna"
"Tennis Courts","High Point Playfield","6920 34th Ave. SW","http://www.seattle.gov/parks/park_detail.asp?ID=3941",-122.373414,47.540171,"High Point"
"Tennis Courts","Sam Smith Park","1400 Martin Luther King Jr. Way S","http://www.seattle.gov/parks/park_detail.asp?ID=4242",-122.297814,47.589982,"Atlantic"
"Tennis Courts","Solstice Park","7400 Fauntleroy Way SW","http://www.seattle.gov/parks/park_detail.asp?ID=4453",-122.390347,47.536414,"Fauntleroy"
"Tennis Courts","Gilman Playground","923 NW 54th St.","http://www.seattle.gov/parks/park_detail.asp?ID=242",-122.369684,47.667293,"West Woodland"
"Tennis Courts","Soundview Playfield","1590 NW 90th St.","http://www.seattle.gov/parks/park_detail.asp?ID=251",-122.378878,47.695417,"Olympic Manor"
"Tennis Courts","Bitter Lake Playfield","13035 Linden Ave. N","http://www.seattle.gov/parks/park_detail.asp?ID=288",-122.349314,47.724209,"Bitter Lake"
"Tennis Courts","Woodland Park","Aurora Ave. N and N 59th St.","http://www.seattle.gov/parks/park_detail.asp?ID=292",-122.344218,47.668906,"Woodland"
"Tennis Courts","Discovery Park","3801 W Government Way","http://www.seattle.gov/parks/park_detail.asp?ID=310",-122.415282,47.66083,"Magnolia"
"Tennis Courts","Kinnear Park","899 W Olympic Pl.","http://www.seattle.gov/parks/park_detail.asp?ID=314",-122.367207,47.627317,"West Queen Anne"
"Tennis Courts","West Magnolia Playfield","2518 34th Ave. W","http://www.seattle.gov/parks/park_detail.asp?ID=319",-122.399506,47.64339,"Magnolia"
"Tennis Courts","David Rodgers Park","2800 1st Ave. W","http://www.seattle.gov/parks/park_detail.asp?ID=331",-122.359484,47.644135,"North Queen Anne"
"Tennis Courts","Laurelhurst Playfield","4544 NE 41st St.","http://www.seattle.gov/parks/park_detail.asp?ID=340",-122.278019,47.659889,"Laurelhurst"
"Tennis Courts","Meadowbrook Playfield","10533 35th Ave. NE","http://www.seattle.gov/parks/park_detail.asp?ID=352",-122.293495,47.705784,"Meadowbrook"
"Tennis Courts","Garfield Playfield","23rd Ave. and E Cherry St.","http://www.seattle.gov/parks/park_detail.asp?ID=353",-122.301386,47.607025,"Garfield"
"Tennis Courts","Leschi Park","100 Lakeside Ave. S","http://www.seattle.gov/parks/park_detail.asp?ID=367",-122.286548,47.600931,"Leschi"
"Tennis Courts","Madison Park","E. Madison St. and E. Howe St.","http://www.seattle.gov/parks/park_detail.asp?ID=369",-122.276602,47.635779,"Madison Park"
"Tennis Courts","Madrona Playground","3211 E Spring St.","http://www.seattle.gov/parks/park_detail.asp?ID=371",-122.289887,47.611022,"Madrona"
"Tennis Courts","Pendleton Miller Playfield","400 19th Ave. E","http://www.seattle.gov/parks/park_detail.asp?ID=373",-122.306261,47.621432,"Capitol Hill"
"Tennis Courts","Montlake Playfield","1618 E Calhoun St.","http://www.seattle.gov/parks/park_detail.asp?ID=376",-122.310083,47.642407,"Montlake"
"Tennis Courts","Ravenna Park","5520 Ravenna Ave. NE","http://www.seattle.gov/parks/park_detail.asp?ID=391",-122.305705,47.671404,"Ravenna"
"Tennis Courts","Warren G. Magnuson Park","6550 Sand Point Way NE","http://www.seattle.gov/parks/park_detail.asp?ID=398",-122.255084,47.680304,"Sand Point"
"Tennis Courts","Volunteer Park","1247 15th Ave. E","http://www.seattle.gov/parks/park_detail.asp?ID=399",-122.315568,47.630378,"Capitol Hill"
"Tennis Courts","Beacon Hill Playground","1902 13th Ave. S","http://www.seattle.gov/parks/park_detail.asp?ID=400",-122.315325,47.586228,"North Beacon Hill"
"Tennis Courts","Brighton Playfield","6000 39th Ave. S","http://www.seattle.gov/parks/park_detail.asp?ID=402",-122.282098,47.548389,"Hillman City"
"Tennis Courts","Cleveland Playfield","S Lucile St. and 13th Ave. S","http://www.seattle.gov/parks/park_detail.asp?ID=404",-122.315544,47.552012,"Beacon Hill"
"Tennis Courts","Georgetown Playfield","750 S Homer St.","http://www.seattle.gov/parks/park_detail.asp?ID=410",-122.321395,47.551619,"Georgetown"
"Tennis Courts","Mount Baker Park","2521 Lake Park Dr. S","http://www.seattle.gov/parks/park_detail.asp?ID=419",-122.288481,47.580957,"Mt. Baker"
"Tennis Courts","Rainier Beach Playfield","8802 Rainier Ave. S","http://www.seattle.gov/parks/park_detail.asp?ID=422",-122.273135,47.52504,"Dunlap"
"Tennis Courts","Rainier Playfield","3700 S Alaska St.","http://www.seattle.gov/parks/park_detail.asp?ID=423",-122.286199,47.561819,"Columbia City"
"Tennis Courts","Amy Yee Tennis Center","2000 MLK Jr. Way S","http://www.seattle.gov/parks/park_detail.asp?ID=426",-122.29742,47.584876,"Mt. Baker"
"Tennis Courts","Seward Park","5902 Lake Washington Blvd. S","http://www.seattle.gov/parks/park_detail.asp?ID=428",-122.25245,47.5543,"Seward Park"
"Tennis Courts","University Playground","9th Ave. NE and NE 50th St.","http://www.seattle.gov/parks/park_detail.asp?ID=435",-122.319311,47.664447,"University District"
"Tennis Courts","Victory Heights Playground","1737 NE 106th St.","http://www.seattle.gov/parks/park_detail.asp?ID=438",-122.307836,47.705672,"Victory Heights"
"Tennis Courts","Freed Hutchinson Playground","S Norfolk St. and 59th Ave. S","http://www.seattle.gov/parks/park_detail.asp?ID=439",-122.260061,47.514311,"Rainier Beach"
"Tennis Courts","Beer Sheva Park","8650 55th Ave. S","http://www.seattle.gov/parks/park_detail.asp?ID=440",-122.263223,47.524191,"Dunlap"
"Tennis Courts","Alki Playground","5817 SW Lander St.","http://www.seattle.gov/parks/park_detail.asp?ID=446",-122.407313,47.578497,"Alki"
"Tennis Courts","Wallingford Playfield","4219 Wallingford Ave. N","http://www.seattle.gov/parks/park_detail.asp?ID=449",-122.337434,47.658554,"Wallingford"
"Tennis Courts","Delridge Playfield","4458 Delridge Way SW","http://www.seattle.gov/parks/park_detail.asp?ID=450",-122.364369,47.562841,"North Delridge"
